t;x;v
0.0000;0.500000000000;0.000000000000
0.0100;0.500000000000;-0.010000000000
0.0200;0.499900000000;-0.019990000000
0.0300;0.499700100000;-0.029968010000
0.0400;0.499400419900;-0.039932043990
0.0500;0.499001099460;-0.049880120344
0.0600;0.498502298257;-0.059810262213
0.0700;0.497904195635;-0.069720497916
0.0800;0.497206990655;-0.079608861331
0.0900;0.496410902042;-0.089473392282
0.1000;0.495516168119;-0.099312136931
0.1100;0.494523046750;-0.109123148156
0.1200;0.493431815268;-0.118904485943
0.1300;0.492242770409;-0.128654217763
0.1400;0.490956228231;-0.138370418953
0.1500;0.489572524042;-0.148051173099
0.1600;0.488092012311;-0.157694572406
0.1700;0.486515066587;-0.167298718080
0.1800;0.484842079406;-0.176861720694
0.1900;0.483073462199;-0.186381700561
0.2000;0.481209645193;-0.195856788105
0.2100;0.479251077312;-0.205285124221
0.2200;0.477198226070;-0.214664860643
0.2300;0.475051577464;-0.223994160303
0.2400;0.472811635861;-0.233271197692
0.2500;0.470478923884;-0.242494159212
0.2600;0.468053982292;-0.251661243530
0.2700;0.465537369856;-0.260770661933
0.2800;0.462929663237;-0.269820638668
0.2900;0.460231456850;-0.278809411294
0.3000;0.457443362737;-0.287735231020
0.3100;0.454566010427;-0.296596363043
0.3200;0.451600046797;-0.305391086889
0.3300;0.448546135928;-0.314117696738
0.3400;0.445404958960;-0.322774501760
0.3500;0.442177213943;-0.331359826437
0.3600;0.438863615679;-0.339872010890
0.3700;0.435464895570;-0.348309411192
0.3800;0.431981801458;-0.356670399692
0.3900;0.428415097461;-0.364953365322
0.4000;0.424765563808;-0.373156713906
0.4100;0.421033996669;-0.381278868468
0.4200;0.417221207984;-0.389318269533
0.4300;0.413328025288;-0.397273375423
0.4400;0.409355291534;-0.405142662553
0.4500;0.405303864909;-0.412924625722
0.4600;0.401174618652;-0.420617778394
0.4700;0.396968440868;-0.428220652989
0.4800;0.392686234338;-0.435731801153
0.4900;0.388328916326;-0.443149794039
0.5000;0.383897418386;-0.450473222571
0.5100;0.379392686160;-0.457700697716
0.5200;0.374815679183;-0.464830850742
0.5300;0.370167370675;-0.471862333475
0.5400;0.365448747341;-0.478793818555
0.5500;0.360660809155;-0.485623999683
0.5600;0.355804569158;-0.492351591866
0.5700;0.350881053240;-0.498975331658
0.5800;0.345891299923;-0.505493977391
0.5900;0.340836360149;-0.511906309412
0.6000;0.335717297055;-0.518211130305
0.6100;0.330535185752;-0.524407265116
0.6200;0.325291113101;-0.530493561566
0.6300;0.319986177485;-0.536468890267
0.6400;0.314621488583;-0.542332144926
0.6500;0.309198167133;-0.548082242553
0.6600;0.303717344708;-0.553718123653
0.6700;0.298180163471;-0.559238752423
0.6800;0.292587775947;-0.564643116940
0.6900;0.286941344778;-0.569930229342
0.7000;0.281242042484;-0.575099126009
0.7100;0.275491051224;-0.580148867732
0.7200;0.269689562547;-0.585078539889
0.7300;0.263838777148;-0.589887252600
0.7400;0.257939904622;-0.594574140890
0.7500;0.251994163213;-0.599138364842
0.7600;0.246002779565;-0.603579109741
0.7700;0.239966988467;-0.607895586223
0.7800;0.233888032605;-0.612087030406
0.7900;0.227767162301;-0.616152704028
0.8000;0.221605635261;-0.620091894570
0.8100;0.215404716315;-0.623903915380
0.8200;0.209165677161;-0.627588105791
0.8300;0.202889796103;-0.631143831229
0.8400;0.196578357791;-0.634570483320
0.8500;0.190232652958;-0.637867479992
0.8600;0.183853978158;-0.641034265571
0.8700;0.177443635502;-0.644070310869
0.8800;0.171002932393;-0.646975113268
0.8900;0.164533181261;-0.649748196803
0.9000;0.158035699293;-0.652389112231
0.9100;0.151511808170;-0.654897437105
0.9200;0.144962833799;-0.657272775831
0.9300;0.138390106041;-0.659514759731
0.9400;0.131794958444;-0.661623047092
0.9500;0.125178727973;-0.663597323214
0.9600;0.118542754741;-0.665437300450
0.9700;0.111888381736;-0.667142718245
0.9800;0.105216954554;-0.668713343161
0.9900;0.098529821122;-0.670148968909
1.0000;0.091828331433;-0.671449416362
1.0100;0.085113837269;-0.672614533575
1.0200;0.078387691934;-0.673644195787
1.0300;0.071651249976;-0.674538305429
1.0400;0.064905866921;-0.675296792124
1.0500;0.058152899000;-0.675919612670
1.0600;0.051393702874;-0.676406751037
1.0700;0.044629635363;-0.676758218344
1.0800;0.037862053180;-0.676974052833
1.0900;0.031092312651;-0.677054319843
1.1000;0.024321769453;-0.676999111776
1.1100;0.017551778335;-0.676808548054
1.1200;0.010783692855;-0.676482775072
1.1300;0.004018865104;-0.676021966154
1.1400;-0.002741354558;-0.675426321490
1.1500;-0.009495617773;-0.674696068078
1.1600;-0.016242578453;-0.673831459654
1.1700;-0.022980893050;-0.672832776625
1.1800;-0.029709220816;-0.671700325988
1.1900;-0.036426224076;-0.670434441246
1.2000;-0.043130568488;-0.669035482323
1.2100;-0.049820923312;-0.667503835471
1.2200;-0.056495961666;-0.665839913169
1.2300;-0.063154360798;-0.664044154022
1.2400;-0.069794802338;-0.662117022652
1.2500;-0.076415972565;-0.660059009583
1.2600;-0.083016562661;-0.657870631122
1.2700;-0.089595268972;-0.655552429238
1.2800;-0.096150793264;-0.653104971429
1.2900;-0.102681842979;-0.650528850592
1.3000;-0.109187131484;-0.647824684882
1.3100;-0.115665378333;-0.644993117568
1.3200;-0.122115309509;-0.642034816883
1.3300;-0.128535657678;-0.638950475876
1.3400;-0.134925162437;-0.635740812247
1.3500;-0.141282570559;-0.632406568186
1.3600;-0.147606636241;-0.628948510207
1.3700;-0.153896121343;-0.625367428972
1.3800;-0.160149795633;-0.621664139116
1.3900;-0.166366437024;-0.617839479064
1.4000;-0.172544831814;-0.613894310844
1.4100;-0.178683774923;-0.609829519897
1.4200;-0.184782070122;-0.605646014879
1.4300;-0.190838530271;-0.601344727462
1.4400;-0.196851977545;-0.596926612129
1.4500;-0.202821243667;-0.592392645966
1.4600;-0.208745170126;-0.587743828446
1.4700;-0.214622608411;-0.582981181215
1.4800;-0.220452420223;-0.578105747866
1.4900;-0.226233477702;-0.573118593714
1.5000;-0.231964663639;-0.568020805566
1.5100;-0.237644871694;-0.562813491488
1.5200;-0.243273006609;-0.557497780562
1.5300;-0.248847984415;-0.552074822650
1.5400;-0.254368732641;-0.546545788139
1.5500;-0.259834190523;-0.540911867698
1.5600;-0.265243309200;-0.535174272019
1.5700;-0.270595051920;-0.529334231563
1.5800;-0.275888394235;-0.523392996294
1.5900;-0.281122324198;-0.517351835412
1.6000;-0.286295842553;-0.511212037093
1.6100;-0.291407962923;-0.504974908205
1.6200;-0.296457712006;-0.498641774038
1.6300;-0.301444129746;-0.492213978024
1.6400;-0.306366269526;-0.485692881451
1.6500;-0.311223198341;-0.479079863179
1.6600;-0.316013996972;-0.472376319349
1.6700;-0.320737760166;-0.465583663090
1.6800;-0.325393596797;-0.458703324224
1.6900;-0.329980630039;-0.451736748964
1.7000;-0.334497997529;-0.444685399614
1.7100;-0.338944851525;-0.437550754264
1.7200;-0.343320359068;-0.430334306479
1.7300;-0.347623702132;-0.423037564991
1.7400;-0.351854077782;-0.415662053384
1.7500;-0.356010698316;-0.408209309775
1.7600;-0.360092791414;-0.400680886499
1.7700;-0.364099600279;-0.393078349784
1.7800;-0.368030383777;-0.385403279428
1.7900;-0.371884416571;-0.377657268473
1.8000;-0.375660989256;-0.369841922874
1.8100;-0.379359408484;-0.361958861166
1.8200;-0.382978997096;-0.354009714135
1.8300;-0.386519094237;-0.345996124479
1.8400;-0.389979055482;-0.337919746469
1.8500;-0.393358252947;-0.329782245613
1.8600;-0.396656075403;-0.321585298309
1.8700;-0.399871928386;-0.313330591502
1.8800;-0.403005234301;-0.305019822343
1.8900;-0.406055432525;-0.296654697835
1.9000;-0.409021979503;-0.288236934487
1.9100;-0.411904348848;-0.279768257962
1.9200;-0.414702031427;-0.271250402727
